,year,country,ACT,AQ,CQ,OAM,Painkiller,QN,SP,U,ACT.AQ,ACT.CQ,ACT.OAM,ACT.QN,ACT.SP,AQ.CQ,AQ.OAM,AQ.QN,AQ.SP,CQ.OAM,CQ.QN,CQ.SP,OAM.QN,OAM.SP,QN.SP,ACT.AQ.CQ,ACT.AQ.QN,ACT.AQ.OAM,ACT.AQ.SP,ACT.CQ.OAM,ACT.CQ.QN,ACT.CQ.SP,ACT.OAM.QN,ACT.OAM.SP,AQ.CQ.OAM,AQ.CQ.QN,AQ.CQ.SP,AQ.OAM.QN,AQ.QN.SP,CQ.OAM.QN,CQ.OAM.SP,CQ.QN.SP,OAM.QN.SP,total.fevers,total.AM
20,2006,Somalia,0.005492459,0.001246213,0.045579651,0.001591604,0.05298483,0.002252821,0.011738967,0.010755899,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1288,101
21,2006,Suriname,NA,NA,0.019121039,NA,0.245058917,NA,NA,0.110139485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,3
22,2005,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2006,Togo2,0.007202729,0.03597415,0.253463904,0.045503852,0.274784618,0.04329602,0.006741819,0.142503066,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,1,1,766,381
24,2006,TrinidadTobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2007,Vanuatu,NA,NA,0.166755218,0.014358801,0.254443615,0.025587833,0.071220225,0.081756182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,134,61
26,2006,Vietnam,NA,0.002063894,0,NA,0.393974048,0,0.019863187,0.385533846,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,448,14
27,2006,Yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2006,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2006,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
