country,CQ_use,year
Nigeria,NA,2000
Nigeria,NA,2001
Nigeria,NA,2002
Nigeria,34.1073033,2003
Nigeria,NA,2004
Nigeria,NA,2005
Nigeria,NA,2006
Nigeria,30.2476966,2007
Nigeria,18.5407374,2008
Nigeria,NA,2009
Nigeria,27.2340746,2010
Nigeria,NA,2011
Nigeria,NA,2012
Nigeria,NA,2013
Nigeria,NA,2014
Nigeria,9.1666469,2015
Nigeria,NA,2016
Nigeria,NA,2017
Nigeria,NA,2018
