country,CQ_use,year
Kenya,40.3274333,2000
Kenya,NA,2001
Kenya,NA,2002
Kenya,3.2303923,2003
Kenya,NA,2004
Kenya,NA,2005
Kenya,NA,2006
Kenya,NA,2007
Kenya,1.1526932,2008
Kenya,NA,2009
Kenya,NA,2010
Kenya,NA,2011
Kenya,NA,2012
Kenya,NA,2013
Kenya,0.3816534,2014
Kenya,0.2009671,2015
Kenya,NA,2016
Kenya,NA,2017
Kenya,NA,2018
