country,CQ_use,year
Uganda,NA,2000
Uganda,NA,2001
Uganda,NA,2002
Uganda,NA,2003
Uganda,NA,2004
Uganda,NA,2005
Uganda,23.3948935,2006
Uganda,NA,2007
Uganda,NA,2008
Uganda,10.7786223,2009
Uganda,NA,2010
Uganda,3.0743677,2011
Uganda,NA,2012
Uganda,NA,2013
Uganda,1.2787483,2014
Uganda,NA,2015
Uganda,0.3403941,2016
Uganda,NA,2017
Uganda,0.87293,2018
