country,CQ_use,year
Malawi,NA,2000
Malawi,NA,2001
Malawi,NA,2002
Malawi,NA,2003
Malawi,0.6866029,2004
Malawi,NA,2005
Malawi,NA,2006
Malawi,NA,2007
Malawi,NA,2008
Malawi,NA,2009
Malawi,NA,2010
Malawi,NA,2011
Malawi,0.1294489,2012
Malawi,NA,2013
Malawi,0,2014
Malawi,NA,2015
Malawi,NA,2016
Malawi,NA,2017
Malawi,NA,2018
