country,CQ_use,year
Senegal,61.3333446,2000
Senegal,NA,2001
Senegal,NA,2002
Senegal,NA,2003
Senegal,NA,2004
Senegal,16.9274323,2005
Senegal,6.4448121,2006
Senegal,NA,2007
Senegal,1.3653281,2008
Senegal,NA,2009
Senegal,NA,2010
Senegal,NA,2011
Senegal,NA,2012
Senegal,NA,2013
Senegal,NA,2014
Senegal,NA,2015
Senegal,NA,2016
Senegal,NA,2017
Senegal,NA,2018
